Sr No.,"Date ofEncashment",Name of the Political Party,"Account no. ofPolitical Party",Prefix,"BondNumber",Denominations,"Pay BranchCode",Pay Teller
1370,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5273,"1,00,00,000",00691,3627829
1371,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5280,"1,00,00,000",00691,3627829
1372,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5264,"1,00,00,000",00691,3627829
1373,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5272,"1,00,00,000",00691,3627829
1374,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5282,"1,00,00,000",00691,3627829
1375,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5291,"1,00,00,000",00691,2039265
1376,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5300,"1,00,00,000",00691,3627829
1377,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5293,"1,00,00,000",00691,2039265
1378,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5276,"1,00,00,000",00691,3627829
1379,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5279,"1,00,00,000",00691,3627829
1380,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5285,"1,00,00,000",00691,3627829
1381,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5288,"1,00,00,000",00691,2039265
1382,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5287,"1,00,00,000",00691,2039265
1383,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5296,"1,00,00,000",00691,3627829
1384,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5290,"1,00,00,000",00691,2039265
1385,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5275,"1,00,00,000",00691,3627829
1386,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5278,"1,00,00,000",00691,3627829
1387,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5284,"1,00,00,000",00691,3627829
1388,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5269,"1,00,00,000",00691,3627829
1389,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5286,"1,00,00,000",00691,2039265
1390,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5270,"1,00,00,000",00691,3627829
1391,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5289,"1,00,00,000",00691,2039265
1392,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5297,"1,00,00,000",00691,3627829
1393,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5292,"1,00,00,000",00691,2039265
1394,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6402,"1,00,00,000",00691,3627829
1395,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5299,"1,00,00,000",00691,3627829
1396,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5265,"1,00,00,000",00691,3627829
1397,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5274,"1,00,00,000",00691,3627829
1398,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5294,"1,00,00,000",00691,2039265
1399,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5298,"1,00,00,000",00691,3627829
1400,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5277,"1,00,00,000",00691,3627829
1401,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,5295,"1,00,00,000",00691,2039265
1402,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6403,"1,00,00,000",00691,3627829
1403,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6405,"1,00,00,000",00691,3627829
1404,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6404,"1,00,00,000",00691,3627829
1405,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6406,"1,00,00,000",00691,3627829
1406,18/Apr/2019,BHARATIYA JANATA PARTY,*******8244,OC,6407,"1,00,00,000",00691,3627829
